#Filename, startingLog, EndingLog, lastEq, lastBo, lastBi, Weight,
Australia.JPG,-1,4,3441,6.8,2.2,1,
Austria.JPG,-5,1,1.9,0.0117,0.0001,1,
Belgium.JPG,-2,2,22,1.6,0.7,1,
Canada.JPG,-1,3,636,12.8,5.6,1,
China.JPG,-1,1,0.5,1.5,1.1,1,
Denmark.JPG,-1,3,388,39.8,11,1,
#Europe.JPG,-1,3,125,3.6,2.7,1,
Finland.JPG,-1,3,400,1.3,0.5,1,
France.JPG,-2,2,36,1.3,0.04,1,
Germany.JPG,-2,2,38,0.2,0.1,1,
Ireland.JPG,-1,3,113,6.2,2.2,1,
Italy.JPG,-2,2,9,0.3,0.02,1,
Japan.JPG,-2,3,105,0.3,0.1,1,
Netherlands.JPG,-1,3,268,7.1,2.0,1,
NewZealand.JPG,-1,3,906,10.8,6.7,1,
Norway.JPG,-1,3,117,8.4,3.6,1,
Portugal.JPG,-1,3,48,2.5,0.3,1,
Russia.JPG,-1,1,2.0,1.9,0.6,1,
SouthAfrica.JPG,-1,4,3551,8.6,3.0,1,
Spain.JPG,-1,2,63,7.7,1.4,1,
Sweden.JPG,-1,3,684,22.9,8.5,1,
Switzerland.JPG,-1,3,155,14.1,2.5,1,
UK.JPG,-1,3,367,5.9,2.8,1,
US.JPG,-1,4,1396,10.1,2.7,1,
#WorldMinusUS.JPG,-1,3,148,6,2.7,1,
World.JPG,-1,3,325,8.4,2.7,1,
