Country,Strategy,Eq,Bo,Withdrawal,Rebalance,TrailAver,TrailMax,TrailMin,WDAver,WDMax,WDMin,SuccessRate, 
Australia.JPG,1,55,30,0.00,11,25.79,53.93,10.15,0,0,0,1.00,
Australia.JPG,1,55,30,0.50,11,23.52,62.45,9.00,20,20,20,1.00,
Australia.JPG,1,55,30,1.00,11,21.39,56.23,6.57,40,40,40,1.00,
Australia.JPG,1,55,30,1.50,11,19.13,52.45,6.43,60,60,60,1.00,
Australia.JPG,1,55,30,2.00,11,17.01,49.07,4.66,80,80,80,1.00,
Australia.JPG,1,55,30,2.50,11,14.84,49.43,3.87,100,100,100,1.00,
Australia.JPG,1,55,30,3.00,11,12.58,39.78,2.81,120,120,60,1.00,
Australia.JPG,1,55,30,3.50,11,10.37,44.29,1.09,140,140,70,1.00,
Australia.JPG,1,55,30,4.00,11,8.17,28.96,0.07,159,160,80,1.00,
Australia.JPG,1,55,30,4.50,11,6.05,30.54,0.00,176,180,0,1.00,
Australia.JPG,1,55,30,5.00,11,4.25,23.00,0.00,188,200,0,0.96,
Australia.JPG,1,55,30,5.50,11,2.75,17.61,0.00,193,220,0,0.85,
Australia.JPG,1,55,30,6.00,11,1.48,17.62,0.00,193,240,0,0.61,
Australia.JPG,1,55,30,6.50,11,0.79,14.72,0.00,188,260,0,0.38,
Australia.JPG,1,55,30,7.00,11,0.32,12.94,0.00,180,280,0,0.19,
Australia.JPG,1,55,30,7.50,11,0.12,9.56,0.00,171,300,0,0.08,
Australia.JPG,1,55,30,8.00,11,0.03,7.68,0.00,162,320,0,0.02,
Australia.JPG,1,55,30,8.50,11,0.01,3.49,0.00,156,340,0,0.01,
Australia.JPG,1,55,30,9.00,11,0.00,7.25,0.00,151,360,0,0.00,
Australia.JPG,1,55,30,9.50,11,0.00,5.38,0.00,146,380,0,0.00,
Austria.JPG,1,55,30,0.00,11,10.21,25.33,3.54,0,0,0,1.00,
Austria.JPG,1,55,30,0.50,11,8.84,30.58,2.62,20,20,10,1.00,
Austria.JPG,1,55,30,1.00,11,7.70,21.74,2.12,40,40,20,1.00,
Austria.JPG,1,55,30,1.50,11,6.44,17.87,1.08,59,60,30,1.00,
Austria.JPG,1,55,30,2.00,11,5.36,18.59,0.52,76,80,40,1.00,
Austria.JPG,1,55,30,2.50,11,4.25,14.58,0.34,91,100,50,1.00,
Austria.JPG,1,55,30,3.00,11,3.29,14.91,0.00,104,120,0,1.00,
Austria.JPG,1,55,30,3.50,11,2.36,12.89,0.00,115,140,0,0.98,
Austria.JPG,1,55,30,4.00,11,1.55,10.62,0.00,125,160,0,0.90,
