Country,Strategy,Eq,Bo,Withdrawal,Rebalance,TrailAver,TrailMax,TrailMin,WDAver,WDMax,WDMin,SuccessRate, 
Australia.JPG,1,55,30,0.00,11,35.66,121.17,10.98,0,0,0,1.00,
Australia.JPG,1,55,30,0.50,11,32.74,134.64,10.44,20,20,20,1.00,
Australia.JPG,1,55,30,1.00,11,30.11,94.66,7.63,40,40,40,1.00,
Australia.JPG,1,55,30,1.50,11,27.17,94.67,6.80,60,60,60,1.00,
Australia.JPG,1,55,30,2.00,11,24.46,82.63,4.76,80,80,80,1.00,
Australia.JPG,1,55,30,2.50,11,21.58,84.17,3.52,100,100,100,1.00,
Australia.JPG,1,55,30,3.00,11,18.79,77.63,0.93,120,120,120,1.00,
Australia.JPG,1,55,30,3.50,11,15.91,51.56,0.42,140,140,140,1.00,
Australia.JPG,1,55,30,4.00,11,13.18,55.00,0.00,160,160,0,1.00,
Australia.JPG,1,55,30,4.50,11,10.35,54.76,0.00,180,180,0,0.99,
Australia.JPG,1,55,30,5.00,11,7.75,43.14,0.00,199,200,0,0.95,
Australia.JPG,1,55,30,5.50,11,5.18,40.33,0.00,214,220,0,0.83,
Australia.JPG,1,55,30,6.00,11,2.83,40.17,0.00,220,240,0,0.59,
Australia.JPG,1,55,30,6.50,11,1.54,44.46,0.00,218,260,0,0.37,
Australia.JPG,1,55,30,7.00,11,0.57,22.05,0.00,208,280,0,0.17,
Australia.JPG,1,55,30,7.50,11,0.19,21.74,0.00,194,300,0,0.07,
Australia.JPG,1,55,30,8.00,11,0.06,10.84,0.00,182,320,0,0.02,
Australia.JPG,1,55,30,8.50,11,0.02,9.39,0.00,172,340,0,0.01,
Australia.JPG,1,55,30,9.00,11,0.00,3.27,0.00,164,360,0,0.00,
Australia.JPG,1,55,30,9.50,11,0.00,1.91,0.00,158,380,0,0.00,
Austria.JPG,1,55,30,0.00,11,4.23,24.90,0.02,0,0,0,1.00,
Austria.JPG,1,55,30,0.50,11,3.40,23.71,0.00,20,20,0,0.98,
Austria.JPG,1,55,30,1.00,11,2.50,19.64,0.00,39,40,0,0.91,
Austria.JPG,1,55,30,1.50,11,1.68,21.85,0.00,57,60,0,0.80,
Austria.JPG,1,55,30,2.00,11,1.06,24.56,0.00,72,80,0,0.59,
Austria.JPG,1,55,30,2.50,11,0.52,12.92,0.00,83,100,0,0.36,
Austria.JPG,1,55,30,3.00,11,0.23,13.90,0.00,89,120,0,0.18,
Austria.JPG,1,55,30,3.50,11,0.09,8.15,0.00,91,140,0,0.07,
Austria.JPG,1,55,30,4.00,11,0.03,9.88,0.00,91,160,0,0.03,
Austria.JPG,1,55,30,4.50,11,0.01,5.25,0.00,91,180,0,0.01,
Austria.JPG,1,55,30,5.00,11,0.01,13.73,0.00,91,200,0,0.00,
Austria.JPG,1,55,30,5.50,11,0.00,7.03,0.00,92,220,0,0.00,
Austria.JPG,1,55,30,6.00,11,0.00,0.00,0.00,92,240,0,0.00,
Austria.JPG,1,55,30,6.50,11,0.00,2.11,0.00,92,260,0,0.00,
Austria.JPG,1,55,30,7.00,11,0.00,0.00,0.00,92,280,0,0.00,
Austria.JPG,1,55,30,7.50,11,0.00,0.00,0.00,92,300,0,0.00,
Austria.JPG,1,55,30,8.00,11,0.00,0.00,0.00,93,320,0,0.00,
Austria.JPG,1,55,30,8.50,11,0.00,0.00,0.00,93,340,0,0.00,
Austria.JPG,1,55,30,9.00,11,0.00,0.00,0.00,93,360,0,0.00,
Austria.JPG,1,55,30,9.50,11,0.00,0.00,0.00,93,380,0,0.00,
Belgium.JPG,1,55,30,0.00,11,8.35,30.05,2.13,0,0,0,1.00,
Belgium.JPG,1,55,30,0.50,11,7.19,27.28,1.61,20,20,20,1.00,
Belgium.JPG,1,55,30,1.00,11,6.18,28.30,1.06,40,40,40,1.00,
Belgium.JPG,1,55,30,1.50,11,5.05,22.79,0.39,60,60,60,1.00,
Belgium.JPG,1,55,30,2.00,11,3.98,28.31,0.00,80,80,0,1.00,
Belgium.JPG,1,55,30,2.50,11,2.83,15.70,0.00,100,100,0,0.98,
Belgium.JPG,1,55,30,3.00,11,1.84,20.76,0.00,118,120,0,0.86,
Belgium.JPG,1,55,30,3.50,11,0.96,14.36,0.00,132,140,0,0.59,
Belgium.JPG,1,55,30,4.00,11,0.46,12.86,0.00,138,160,0,0.32,
Belgium.JPG,1,55,30,4.50,11,0.20,9.17,0.00,138,180,0,0.14,
Belgium.JPG,1,55,30,5.00,11,0.05,7.28,0.00,137,200,0,0.04,
Belgium.JPG,1,55,30,5.50,11,0.01,3.75,0.00,133,220,0,0.01,
Belgium.JPG,1,55,30,6.00,11,0.00,3.27,0.00,131,240,0,0.00,
Belgium.JPG,1,55,30,6.50,11,0.00,2.24,0.00,128,260,0,0.00,
Belgium.JPG,1,55,30,7.00,11,0.00,0.00,0.00,126,280,0,0.00,
Belgium.JPG,1,55,30,7.50,11,0.00,0.00,0.00,124,300,0,0.00,
Belgium.JPG,1,55,30,8.00,11,0.00,0.00,0.00,123,320,0,0.00,
Belgium.JPG,1,55,30,8.50,11,0.00,0.00,0.00,122,340,0,0.00,
Belgium.JPG,1,55,30,9.00,11,0.00,0.00,0.00,121,360,0,0.00,
Belgium.JPG,1,55,30,9.50,11,0.00,0.00,0.00,120,380,0,0.00,
Canada.JPG,1,55,30,0.00,11,22.40,65.29,7.54,0,0,0,1.00,
Canada.JPG,1,55,30,0.50,11,20.59,69.98,6.30,20,20,20,1.00,
Canada.JPG,1,55,30,1.00,11,18.51,76.78,6.35,40,40,40,1.00,
Canada.JPG,1,55,30,1.50,11,16.44,61.51,5.35,60,60,60,1.00,
Canada.JPG,1,55,30,2.00,11,14.40,64.09,3.02,80,80,80,1.00,
Canada.JPG,1,55,30,2.50,11,12.39,44.21,3.07,100,100,100,1.00,
Canada.JPG,1,55,30,3.00,11,10.29,43.46,1.33,120,120,120,1.00,
Canada.JPG,1,55,30,3.50,11,8.35,35.98,0.00,140,140,0,1.00,
Canada.JPG,1,55,30,4.00,11,6.26,38.84,0.00,160,160,0,0.99,
Canada.JPG,1,55,30,4.50,11,4.18,25.17,0.00,179,180,0,0.93,
Canada.JPG,1,55,30,5.00,11,2.50,24.70,0.00,193,200,0,0.75,
Canada.JPG,1,55,30,5.50,11,1.17,20.59,0.00,198,220,0,0.45,
Canada.JPG,1,55,30,6.00,11,0.44,13.41,0.00,192,240,0,0.20,
Canada.JPG,1,55,30,6.50,11,0.16,16.20,0.00,182,260,0,0.08,
Canada.JPG,1,55,30,7.00,11,0.04,10.82,0.00,171,280,0,0.02,
Canada.JPG,1,55,30,7.50,11,0.01,6.70,0.00,164,300,0,0.01,
Canada.JPG,1,55,30,8.00,11,0.00,9.48,0.00,156,320,0,0.00,
Canada.JPG,1,55,30,8.50,11,0.00,2.82,0.00,151,340,0,0.00,
Canada.JPG,1,55,30,9.00,11,0.00,0.00,0.00,148,360,0,0.00,
Canada.JPG,1,55,30,9.50,11,0.00,0.00,0.00,144,380,0,0.00,
China.JPG,1,55,30,0.00,11,2.99,20.53,0.23,0,0,0,1.00,
China.JPG,1,55,30,0.50,11,2.37,21.19,0.00,20,20,0,1.00,
China.JPG,1,55,30,1.00,11,1.75,18.06,0.00,40,40,0,0.99,
China.JPG,1,55,30,1.50,11,1.08,10.71,0.00,59,60,0,0.85,
China.JPG,1,55,30,2.00,11,0.56,9.55,0.00,75,80,0,0.56,
China.JPG,1,55,30,2.50,11,0.26,8.67,0.00,86,100,0,0.30,
China.JPG,1,55,30,3.00,11,0.11,9.45,0.00,91,120,0,0.12,
China.JPG,1,55,30,3.50,11,0.04,5.74,0.00,94,140,0,0.04,
China.JPG,1,55,30,4.00,11,0.01,3.65,0.00,96,160,0,0.02,
China.JPG,1,55,30,4.50,11,0.01,4.81,0.00,97,180,0,0.01,
China.JPG,1,55,30,5.00,11,0.00,6.11,0.00,99,200,0,0.00,
China.JPG,1,55,30,5.50,11,0.00,3.62,0.00,99,220,0,0.00,
China.JPG,1,55,30,6.00,11,0.00,0.80,0.00,100,240,0,0.00,
China.JPG,1,55,30,6.50,11,0.00,0.00,0.00,100,260,0,0.00,
China.JPG,1,55,30,7.00,11,0.00,0.00,0.00,100,280,0,0.00,
China.JPG,1,55,30,7.50,11,0.00,0.00,0.00,101,300,0,0.00,
China.JPG,1,55,30,8.00,11,0.00,0.00,0.00,101,320,0,0.00,
China.JPG,1,55,30,8.50,11,0.00,0.00,0.00,101,340,0,0.00,
China.JPG,1,55,30,9.00,11,0.00,0.00,0.00,102,360,0,0.00,
China.JPG,1,55,30,9.50,11,0.00,0.00,0.00,101,380,0,0.00,
Denmark.JPG,1,55,30,0.00,11,20.48,63.77,7.97,0,0,0,1.00,
Denmark.JPG,1,55,30,0.50,11,18.51,51.55,6.89,20,20,20,1.00,
Denmark.JPG,1,55,30,1.00,11,16.69,47.39,4.42,40,40,40,1.00,
Denmark.JPG,1,55,30,1.50,11,14.80,48.18,4.68,60,60,60,1.00,
Denmark.JPG,1,55,30,2.00,11,12.96,39.68,3.06,80,80,80,1.00,
Denmark.JPG,1,55,30,2.50,11,10.96,36.10,2.30,100,100,100,1.00,
Denmark.JPG,1,55,30,3.00,11,9.21,30.25,1.26,120,120,120,1.00,
Denmark.JPG,1,55,30,3.50,11,7.31,28.32,0.00,140,140,0,1.00,
Denmark.JPG,1,55,30,4.00,11,5.44,29.04,0.00,160,160,0,0.99,
Denmark.JPG,1,55,30,4.50,11,3.63,24.11,0.00,178,180,0,0.90,
Denmark.JPG,1,55,30,5.00,11,2.02,21.17,0.00,192,200,0,0.71,
Denmark.JPG,1,55,30,5.50,11,0.92,17.75,0.00,196,220,0,0.40,
Denmark.JPG,1,55,30,6.00,11,0.31,14.97,0.00,190,240,0,0.17,
Denmark.JPG,1,55,30,6.50,11,0.09,8.06,0.00,180,260,0,0.05,
Denmark.JPG,1,55,30,7.00,11,0.02,6.69,0.00,170,280,0,0.01,
Denmark.JPG,1,55,30,7.50,11,0.01,6.24,0.00,163,300,0,0.00,
Denmark.JPG,1,55,30,8.00,11,0.00,0.67,0.00,156,320,0,0.00,
Denmark.JPG,1,55,30,8.50,11,0.00,0.00,0.00,151,340,0,0.00,
Denmark.JPG,1,55,30,9.00,11,0.00,0.00,0.00,148,360,0,0.00,
Denmark.JPG,1,55,30,9.50,11,0.00,0.00,0.00,144,380,0,0.00,
Europe.JPG,1,55,30,0.00,11,18.56,74.90,4.07,0,0,0,1.00,
Europe.JPG,1,55,30,0.50,11,16.55,86.79,3.21,20,20,20,1.00,
Europe.JPG,1,55,30,1.00,11,14.90,76.92,2.60,40,40,40,1.00,
Europe.JPG,1,55,30,1.50,11,13.02,58.89,1.36,60,60,60,1.00,
Europe.JPG,1,55,30,2.00,11,11.27,61.02,0.20,80,80,80,1.00,
Europe.JPG,1,55,30,2.50,11,9.43,40.45,0.40,100,100,100,1.00,
Europe.JPG,1,55,30,3.00,11,7.60,60.20,0.00,120,120,0,1.00,
Europe.JPG,1,55,30,3.50,11,5.85,36.19,0.00,140,140,0,0.98,
Europe.JPG,1,55,30,4.00,11,4.13,30.48,0.00,158,160,0,0.90,
Europe.JPG,1,55,30,4.50,11,2.60,29.92,0.00,172,180,0,0.72,
Europe.JPG,1,55,30,5.00,11,1.45,34.34,0.00,179,200,0,0.48,
Europe.JPG,1,55,30,5.50,11,0.65,27.50,0.00,177,220,0,0.26,
Europe.JPG,1,55,30,6.00,11,0.29,43.85,0.00,172,240,0,0.12,
Europe.JPG,1,55,30,6.50,11,0.13,17.66,0.00,166,260,0,0.06,
Europe.JPG,1,55,30,7.00,11,0.05,14.31,0.00,158,280,0,0.01,
Europe.JPG,1,55,30,7.50,11,0.01,4.51,0.00,152,300,0,0.01,
Europe.JPG,1,55,30,8.00,11,0.00,6.13,0.00,147,320,0,0.00,
Europe.JPG,1,55,30,8.50,11,0.00,4.71,0.00,143,340,0,0.00,
Europe.JPG,1,55,30,9.00,11,0.00,0.00,0.00,140,360,0,0.00,
Europe.JPG,1,55,30,9.50,11,0.00,0.00,0.00,137,380,0,0.00,
Finland.JPG,1,55,30,0.00,11,17.42,78.85,3.33,0,0,0,1.00,
Finland.JPG,1,55,30,0.50,11,15.83,92.41,2.29,20,20,20,1.00,
Finland.JPG,1,55,30,1.00,11,13.98,80.45,1.53,40,40,40,1.00,
Finland.JPG,1,55,30,1.50,11,12.24,71.89,1.51,60,60,60,1.00,
Finland.JPG,1,55,30,2.00,11,10.60,54.28,0.00,80,80,0,1.00,
Finland.JPG,1,55,30,2.50,11,8.62,59.32,0.00,100,100,0,1.00,
Finland.JPG,1,55,30,3.00,11,6.94,85.70,0.00,120,120,0,0.98,
Finland.JPG,1,55,30,3.50,11,5.09,66.16,0.00,139,140,0,0.93,
Finland.JPG,1,55,30,4.00,11,3.59,39.48,0.00,155,160,0,0.80,
Finland.JPG,1,55,30,4.50,11,2.31,37.42,0.00,164,180,0,0.58,
Finland.JPG,1,55,30,5.00,11,1.31,30.15,0.00,169,200,0,0.37,
Finland.JPG,1,55,30,5.50,11,0.65,24.72,0.00,169,220,0,0.22,
Finland.JPG,1,55,30,6.00,11,0.29,21.53,0.00,163,240,0,0.10,
Finland.JPG,1,55,30,6.50,11,0.15,22.73,0.00,158,260,0,0.05,
Finland.JPG,1,55,30,7.00,11,0.05,15.17,0.00,151,280,0,0.02,
Finland.JPG,1,55,30,7.50,11,0.01,9.55,0.00,146,300,0,0.00,
Finland.JPG,1,55,30,8.00,11,0.01,15.37,0.00,142,320,0,0.00,
Finland.JPG,1,55,30,8.50,11,0.00,11.22,0.00,138,340,0,0.00,
Finland.JPG,1,55,30,9.00,11,0.00,5.06,0.00,136,360,0,0.00,
Finland.JPG,1,55,30,9.50,11,0.00,0.00,0.00,133,380,0,0.00,
France.JPG,1,55,30,0.00,11,8.54,55.99,2.40,0,0,0,1.00,
France.JPG,1,55,30,0.50,11,7.54,42.35,1.63,20,20,20,1.00,
France.JPG,1,55,30,1.00,11,6.35,38.49,0.79,40,40,40,1.00,
France.JPG,1,55,30,1.50,11,5.19,30.04,0.27,60,60,60,1.00,
France.JPG,1,55,30,2.00,11,4.03,25.61,0.00,80,80,0,1.00,
France.JPG,1,55,30,2.50,11,2.90,26.70,0.00,100,100,0,0.97,
France.JPG,1,55,30,3.00,11,1.83,22.25,0.00,118,120,0,0.84,
France.JPG,1,55,30,3.50,11,1.01,38.10,0.00,131,140,0,0.57,
France.JPG,1,55,30,4.00,11,0.45,22.97,0.00,137,160,0,0.28,
France.JPG,1,55,30,4.50,11,0.17,13.36,0.00,136,180,0,0.12,
France.JPG,1,55,30,5.00,11,0.06,9.93,0.00,134,200,0,0.04,
France.JPG,1,55,30,5.50,11,0.02,7.63,0.00,132,220,0,0.02,
France.JPG,1,55,30,6.00,11,0.01,20.55,0.00,128,240,0,0.00,
France.JPG,1,55,30,6.50,11,0.00,3.79,0.00,127,260,0,0.00,
France.JPG,1,55,30,7.00,11,0.00,3.49,0.00,124,280,0,0.00,
France.JPG,1,55,30,7.50,11,0.00,0.00,0.00,122,300,0,0.00,
France.JPG,1,55,30,8.00,11,0.00,0.00,0.00,121,320,0,0.00,
France.JPG,1,55,30,8.50,11,0.00,0.00,0.00,120,340,0,0.00,
France.JPG,1,55,30,9.00,11,0.00,0.00,0.00,119,360,0,0.00,
France.JPG,1,55,30,9.50,11,0.00,0.00,0.00,118,380,0,0.00,
Germany.JPG,1,55,30,0.00,11,10.26,55.72,0.69,0,0,0,1.00,
Germany.JPG,1,55,30,0.50,11,8.96,45.03,0.74,20,20,20,1.00,
Germany.JPG,1,55,30,1.00,11,7.62,57.40,0.00,40,40,0,1.00,
Germany.JPG,1,55,30,1.50,11,6.37,48.02,0.00,60,60,0,1.00,
Germany.JPG,1,55,30,2.00,11,5.16,61.34,0.00,80,80,0,0.97,
Germany.JPG,1,55,30,2.50,11,3.88,27.66,0.00,99,100,0,0.92,
Germany.JPG,1,55,30,3.00,11,2.82,37.12,0.00,116,120,0,0.80,
Germany.JPG,1,55,30,3.50,11,1.86,28.06,0.00,129,140,0,0.62,
Germany.JPG,1,55,30,4.00,11,1.13,25.77,0.00,136,160,0,0.42,
Germany.JPG,1,55,30,4.50,11,0.60,26.46,0.00,140,180,0,0.24,
Germany.JPG,1,55,30,5.00,11,0.28,16.82,0.00,140,200,0,0.13,
Germany.JPG,1,55,30,5.50,11,0.14,14.29,0.00,138,220,0,0.06,
Germany.JPG,1,55,30,6.00,11,0.07,25.43,0.00,135,240,0,0.03,
Germany.JPG,1,55,30,6.50,11,0.01,10.74,0.00,132,260,0,0.01,
Germany.JPG,1,55,30,7.00,11,0.01,10.54,0.00,130,280,0,0.00,
Germany.JPG,1,55,30,7.50,11,0.00,6.82,0.00,127,300,0,0.00,
Germany.JPG,1,55,30,8.00,11,0.00,1.83,0.00,125,320,0,0.00,
Germany.JPG,1,55,30,8.50,11,0.00,1.17,0.00,124,340,0,0.00,
Germany.JPG,1,55,30,9.00,11,0.00,0.00,0.00,122,360,0,0.00,
Germany.JPG,1,55,30,9.50,11,0.00,0.00,0.00,121,380,0,0.00,
Ireland.JPG,1,55,30,0.00,11,14.88,78.85,3.47,0,0,0,1.00,
Ireland.JPG,1,55,30,0.50,11,13.27,56.10,3.19,20,20,20,1.00,
Ireland.JPG,1,55,30,1.00,11,11.92,53.58,2.26,40,40,40,1.00,
Ireland.JPG,1,55,30,1.50,11,10.30,55.15,1.80,60,60,60,1.00,
