Strategy,P1,P2,P3,Comment,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, 
1,0,0,0,Europe,400,10000,4,0,50,2.5,11,1.29,7.01,0,0.99,
1,0,0,0,Europe,400,10000,4,0,100,2.5,11,1.49,11.88,0,0.91,
1,0,0,0,Europe,400,10000,4,0,0,2.5,11,1.16,3.51,0,1,
1,0,0,0,Europe,400,10000,4,10,45,2.5,11,2.56,22.43,0,1,
1,0,0,0,Europe,400,10000,4,20,40,2.5,11,3.93,22.42,0,1,
1,0,0,0,Europe,400,10000,4,30,35,2.5,11,5.47,40.03,0,1,
1,0,0,0,Europe,400,10000,4,40,30,2.5,11,7.07,35.64,0.29,1,
1,0,0,0,Europe,400,10000,4,50,25,2.5,11,8.76,47.97,0.13,1,
1,0,0,0,Europe,400,10000,4,55,18,2.5,11,9.61,51.73,0.47,1,
1,0,0,0,Europe,400,10000,4,60,20,2.5,11,10.55,60.95,0.93,1,
1,0,0,0,Europe,400,10000,4,70,15,2.5,11,12.37,81.84,0.86,1,
1,0,0,0,Europe,400,10000,4,80,10,2.5,11,14.11,82.52,0.58,1,
1,0,0,0,Europe,400,10000,4,90,5,2.5,11,16.12,87.29,1.02,1,
1,0,0,0,Europe,400,10000,4,100,0,2.5,11,18.29,83.97,0,1,
2,0,0,0,Europe,400,10000,4,0,100,2.5,11,2.38,10.22,0.7,1,
2,0,0,0,Europe,400,10000,4,0,0,2.5,11,2.18,3.85,1.3,1,
2,0,0,0,Europe,400,10000,4,0,50,2.5,11,2.28,5.88,1.01,1,
2,0,0,0,Europe,400,10000,4,10,45,2.5,11,3.2,10.04,1.12,1,
2,0,0,0,Europe,400,10000,4,20,40,2.5,11,4.14,20.8,1.5,1,
2,0,0,0,Europe,400,10000,4,30,35,2.5,11,5.06,19.96,1.57,1,
2,0,0,0,Europe,400,10000,4,40,30,2.5,11,6.03,30.43,1.57,1,
2,0,0,0,Europe,400,10000,4,50,25,2.5,11,6.97,31.71,2.08,1,
2,0,0,0,Europe,400,10000,4,55,18,2.5,11,7.49,45.67,1.9,1,
2,0,0,0,Europe,400,10000,4,60,20,2.5,11,7.95,35.83,2.11,1,
2,0,0,0,Europe,400,10000,4,70,15,2.5,11,8.93,38.68,2.27,1,
2,0,0,0,Europe,400,10000,4,80,10,2.5,11,9.92,54.8,2.04,1,
2,0,0,0,Europe,400,10000,4,90,5,2.5,11,10.9,63.27,1.94,1,
2,0,0,0,Europe,400,10000,4,100,0,2.5,11,11.89,57.7,2.27,1,
3,0,0,0,Europe,400,10000,4,0,100,2.5,11,2.38,7.81,0.57,1,
3,0,0,0,Europe,400,10000,4,0,0,2.5,11,2.19,3.66,1.26,1,
3,0,0,0,Europe,400,10000,4,0,50,2.5,11,2.29,4.87,1,1,
3,0,0,0,Europe,400,10000,4,10,45,2.5,11,3.22,9.79,1.13,1,
3,0,0,0,Europe,400,10000,4,20,40,2.5,11,4.14,15.68,1.21,1,
3,0,0,0,Europe,400,10000,4,30,35,2.5,11,5.05,18.07,1.2,1,
3,0,0,0,Europe,400,10000,4,40,30,2.5,11,5.97,30.47,1.49,1,
3,0,0,0,Europe,400,10000,4,50,25,2.5,11,6.83,35.27,1.63,1,
3,0,0,0,Europe,400,10000,4,55,18,2.5,11,7.27,28.49,1.49,1,
3,0,0,0,Europe,400,10000,4,60,20,2.5,11,7.72,45.67,1.57,1,
3,0,0,0,Europe,400,10000,4,70,15,2.5,11,8.58,36.63,1.79,1,
3,0,0,0,Europe,400,10000,4,80,10,2.5,11,9.53,59.44,1.09,1,
3,0,0,0,Europe,400,10000,4,90,5,2.5,11,10.36,52.22,1.58,1,
3,0,0,0,Europe,400,10000,4,100,0,2.5,11,11.23,51.14,1.63,1,
1,0,0,0,Europe,400,10000,4,0,50,2.8,11,0.78,6.44,0,0.87,
1,0,0,0,Europe,400,10000,4,0,100,2.8,11,1,13.66,0,0.77,
1,0,0,0,Europe,400,10000,4,0,0,2.8,11,0.65,3.49,0,0.95,
1,0,0,0,Europe,400,10000,4,10,45,2.8,11,1.88,13.07,0,0.99,
1,0,0,0,Europe,400,10000,4,20,40,2.8,11,3.17,20.95,0,1,
1,0,0,0,Europe,400,10000,4,30,35,2.8,11,4.57,46.2,0,1,
1,0,0,0,Europe,400,10000,4,40,30,2.8,11,6.11,45.23,0,1,
1,0,0,0,Europe,400,10000,4,50,25,2.8,11,7.71,44.62,0,1,
1,0,0,0,Europe,400,10000,4,55,18,2.8,11,8.51,44.27,0,1,
1,0,0,0,Europe,400,10000,4,60,20,2.8,11,9.35,55.91,0,1,
1,0,0,0,Europe,400,10000,4,70,15,2.8,11,11.26,66.87,0,1,
1,0,0,0,Europe,400,10000,4,80,10,2.8,11,13.09,80.88,0.42,1,
1,0,0,0,Europe,400,10000,4,90,5,2.8,11,14.84,78.94,0,1,
1,0,0,0,Europe,400,10000,4,100,0,2.8,11,16.86,103.62,0,1,
2,0,0,0,Europe,400,10000,4,0,50,2.8,11,2.04,4.48,0.93,1,
2,0,0,0,Europe,400,10000,4,0,0,2.8,11,1.95,3.35,1.21,1,
2,0,0,0,Europe,400,10000,4,0,100,2.8,11,2.13,8.11,0.59,1,
2,0,0,0,Europe,400,10000,4,10,45,2.8,11,2.86,8.82,1.25,1,
2,0,0,0,Europe,400,10000,4,20,40,2.8,11,3.72,12.03,1.35,1,
2,0,0,0,Europe,400,10000,4,30,35,2.8,11,4.55,18.08,1.39,1,
2,0,0,0,Europe,400,10000,4,40,30,2.8,11,5.37,20.74,1.63,1,
2,0,0,0,Europe,400,10000,4,50,25,2.8,11,6.27,24.45,1.33,1,
2,0,0,0,Europe,400,10000,4,55,18,2.8,11,6.72,35.45,1.77,1,
2,0,0,0,Europe,400,10000,4,60,20,2.8,11,7.1,24.48,1.83,1,
2,0,0,0,Europe,400,10000,4,70,15,2.8,11,8.04,36.3,1.73,1,
2,0,0,0,Europe,400,10000,4,80,10,2.8,11,8.89,38.49,1.95,1,
2,0,0,0,Europe,400,10000,4,90,5,2.8,11,9.79,44.66,1.74,1,
2,0,0,0,Europe,400,10000,4,100,0,2.8,11,10.76,45.27,2.05,1,
3,0,0,0,Europe,400,10000,4,0,50,2.8,11,2.05,6.17,1,1,
3,0,0,0,Europe,400,10000,4,0,100,2.8,11,2.14,9.77,0.5,1,
