Country,Withdrawal,Aver,SuccessRate, 
Australia,0.00,8.98,0.95,
Australia,0.50,8.93,0.95,
Australia,1.00,30.06,1.00,
Australia,1.50,27.16,1.00,
Australia,2.00,24.73,1.00,
Australia,2.50,8.95,0.95,
Australia,3.00,19.50,1.00,
Australia,3.50,16.85,1.00,
Australia,4.00,14.26,1.00,
Australia,4.50,11.60,0.98,
Australia,5.00,8.95,0.95,
Australia,5.50,6.58,0.86,
Australia,6.00,4.38,0.70,
Australia,6.50,2.67,0.51,
Australia,7.00,1.42,0.32,
Australia,7.50,9.12,0.95,
Australia,8.00,0.32,0.08,
Australia,8.50,0.14,0.04,
Australia,9.00,0.04,0.01,
Australia,9.50,0.02,0.00,
Austria,0.00,10.61,1.00,
Austria,0.50,9.42,1.00,
Austria,1.00,8.12,1.00,
Austria,1.50,7.02,1.00,
Austria,2.00,5.65,0.99,
Austria,2.50,4.41,0.94,
Austria,3.00,3.26,0.86,
Austria,3.50,2.20,0.71,
Austria,4.00,1.41,0.52,
Austria,4.50,0.82,0.34,
Austria,5.00,0.40,0.19,
Austria,5.50,0.19,0.09,
Austria,6.00,0.08,0.04,
Austria,6.50,0.03,0.02,
Austria,7.00,0.02,0.01,
Austria,7.50,0.00,0.00,
Austria,8.00,0.00,0.00,
Austria,8.50,0.00,0.00,
Austria,9.00,0.00,0.00,
Austria,9.50,0.00,0.00,
Belgium,0.00,16.01,1.00,
Belgium,0.50,14.44,1.00,
Belgium,1.00,12.88,1.00,
Belgium,1.50,11.28,1.00,
Belgium,2.00,9.69,1.00,
Belgium,2.50,8.10,1.00,
Belgium,3.00,6.54,0.99,
Belgium,3.50,5.03,0.94,
Belgium,4.00,3.52,0.83,
Belgium,4.50,2.26,0.64,
Belgium,5.00,1.34,0.43,
Belgium,5.50,0.70,0.26,
Belgium,6.00,0.31,0.13,
Belgium,6.50,0.14,0.06,
Belgium,7.00,0.04,0.02,
Belgium,7.50,0.02,0.01,
Belgium,8.00,0.01,0.00,
Belgium,8.50,0.00,0.00,
Belgium,9.00,0.00,0.00,
Belgium,9.50,0.00,0.00,
Canada,0.00,26.14,1.00,
Canada,0.50,24.24,1.00,
Canada,1.00,22.02,1.00,
Canada,1.50,19.87,1.00,
Canada,2.00,17.58,1.00,
Canada,2.50,15.55,1.00,
Canada,3.00,13.30,1.00,
Canada,3.50,11.06,1.00,
Canada,4.00,8.99,0.99,
Canada,4.50,6.82,0.95,
Canada,5.00,4.82,0.85,
Canada,5.50,3.05,0.67,
Canada,6.00,1.75,0.45,
Canada,6.50,0.91,0.26,
Canada,7.00,0.40,0.13,
Canada,7.50,0.15,0.05,
Canada,8.00,0.06,0.02,
Canada,8.50,0.02,0.01,
Canada,9.00,0.01,0.00,
Canada,9.50,0.00,0.00,
China,0.00,13.20,1.00,
China,0.50,11.80,1.00,
China,1.00,10.33,1.00,
China,1.50,8.93,1.00,
China,2.00,7.59,1.00,
China,2.50,6.10,0.99,
China,3.00,4.82,0.95,
China,3.50,3.50,0.85,
China,4.00,2.25,0.68,
China,4.50,1.37,0.49,
China,5.00,0.78,0.30,
China,5.50,0.40,0.16,
China,6.00,0.17,0.08,
China,6.50,0.07,0.03,
China,7.00,0.03,0.02,
China,7.50,0.01,0.00,
China,8.00,0.01,0.00,
China,8.50,0.00,0.00,
China,9.00,0.00,0.00,
China,9.50,0.00,0.00,
Denmark,0.00,24.21,1.00,
Denmark,0.50,22.04,1.00,
Denmark,1.00,20.18,1.00,
Denmark,1.50,17.97,1.00,
Denmark,2.00,16.05,1.00,
Denmark,2.50,13.93,1.00,
Denmark,3.00,11.89,1.00,
Denmark,3.50,9.83,1.00,
Denmark,4.00,7.79,0.98,
Denmark,4.50,5.72,0.93,
Denmark,5.00,3.91,0.79,
Denmark,5.50,2.42,0.60,
Denmark,6.00,1.29,0.38,
Denmark,6.50,0.61,0.20,
Denmark,7.00,0.27,0.10,
Denmark,7.50,0.11,0.04,
Denmark,8.00,0.04,0.01,
Denmark,8.50,0.01,0.01,
Denmark,9.00,0.00,0.00,
Denmark,9.50,0.00,0.00,
Europe,0.00,32.93,1.00,
Europe,0.50,30.30,1.00,
Europe,1.00,28.04,1.00,
Europe,1.50,25.37,1.00,
Europe,2.00,22.82,1.00,
Europe,2.50,20.39,1.00,
Europe,3.00,17.83,1.00,
Europe,3.50,15.30,1.00,
Europe,4.00,12.88,0.99,
Europe,4.50,10.31,0.96,
Europe,5.00,7.96,0.90,
Europe,5.50,5.75,0.79,
Europe,6.00,3.82,0.63,
Europe,6.50,2.41,0.44,
Europe,7.00,1.33,0.28,
Europe,7.50,0.70,0.16,
Europe,8.00,0.32,0.08,
Europe,8.50,0.17,0.04,
Europe,9.00,0.07,0.02,
Europe,9.50,0.03,0.01,
Finland,0.00,25.54,1.00,
Finland,0.50,23.19,1.00,
Finland,1.00,21.25,1.00,
Finland,1.50,19.09,1.00,
Finland,2.00,17.12,1.00,
Finland,2.50,14.99,1.00,
Finland,3.00,12.78,1.00,
Finland,3.50,10.70,0.99,
Finland,4.00,8.48,0.96,
Finland,4.50,6.56,0.88,
Finland,5.00,4.76,0.76,
Finland,5.50,3.11,0.59,
Finland,6.00,1.92,0.41,
Finland,6.50,1.19,0.27,
Finland,7.00,0.59,0.15,
Finland,7.50,0.30,0.08,
Finland,8.00,0.13,0.04,
Finland,8.50,0.08,0.02,
Finland,9.00,0.03,0.01,
Finland,9.50,0.01,0.00,
France,0.00,17.72,1.00,
France,0.50,16.04,1.00,
France,1.00,14.48,1.00,
France,1.50,12.68,1.00,
France,2.00,11.02,1.00,
France,2.50,9.19,1.00,
France,3.00,7.65,0.99,
France,3.50,5.93,0.96,
France,4.00,4.43,0.88,
France,4.50,2.89,0.71,
France,5.00,1.84,0.52,
France,5.50,0.95,0.32,
France,6.00,0.49,0.17,
France,6.50,0.26,0.09,
France,7.00,0.13,0.04,
France,7.50,0.05,0.02,
France,8.00,0.02,0.01,
France,8.50,0.01,0.00,
France,9.00,0.01,0.00,
France,9.50,0.00,0.00,
Germany,0.00,24.11,1.00,
Germany,0.50,22.01,1.00,
Germany,1.00,19.78,1.00,
Germany,1.50,17.90,1.00,
Germany,2.00,15.69,1.00,
Germany,2.50,13.65,1.00,
Germany,3.00,11.62,0.99,
Germany,3.50,9.59,0.96,
Germany,4.00,7.59,0.91,
Germany,4.50,5.92,0.82,
Germany,5.00,4.18,0.68,
Germany,5.50,2.97,0.53,
Germany,6.00,1.77,0.37,
Germany,6.50,1.04,0.24,
Germany,7.00,0.56,0.14,
Germany,7.50,0.28,0.08,
Germany,8.00,0.14,0.04,
Germany,8.50,0.05,0.02,
Germany,9.00,0.02,0.01,
Germany,9.50,0.01,0.00,
Ireland,0.00,21.01,1.00,
Ireland,0.50,19.40,1.00,
Ireland,1.00,17.44,1.00,
Ireland,1.50,15.64,1.00,
Ireland,2.00,13.52,1.00,
Ireland,2.50,11.60,1.00,
Ireland,3.00,9.88,1.00,
Ireland,3.50,7.98,0.98,
Ireland,4.00,6.07,0.93,
Ireland,4.50,4.37,0.83,
Ireland,5.00,2.92,0.65,
Ireland,5.50,1.74,0.46,
Ireland,6.00,0.93,0.28,
Ireland,6.50,0.46,0.15,
Ireland,7.00,0.23,0.07,
Ireland,7.50,0.10,0.03,
Ireland,8.00,0.04,0.01,
Ireland,8.50,0.01,0.01,
Ireland,9.00,0.01,0.00,
Ireland,9.50,0.00,0.00,
Italy,0.00,13.93,1.00,
Italy,0.50,12.50,1.00,
Italy,1.00,10.97,1.00,
Italy,1.50,9.63,1.00,
Italy,2.00,8.01,1.00,
Italy,2.50,6.61,0.99,
Italy,3.00,5.21,0.96,
Italy,3.50,3.86,0.87,
Italy,4.00,2.58,0.71,
Italy,4.50,1.62,0.52,
Italy,5.00,0.94,0.33,
Italy,5.50,0.48,0.19,
Italy,6.00,0.23,0.10,
Italy,6.50,0.10,0.04,
Italy,7.00,0.04,0.02,
Italy,7.50,0.02,0.01,
Italy,8.00,0.01,0.00,
Italy,8.50,0.00,0.00,
Italy,9.00,0.00,0.00,
Italy,9.50,0.00,0.00,
Japan,0.00,21.56,1.00,
Japan,0.50,19.73,1.00,
Japan,1.00,17.88,1.00,
Japan,1.50,15.85,1.00,
Japan,2.00,14.01,1.00,
Japan,2.50,12.04,1.00,
Japan,3.00,10.15,0.98,
Japan,3.50,8.22,0.95,
Japan,4.00,6.52,0.87,
Japan,4.50,4.81,0.75,
Japan,5.00,3.40,0.60,
Japan,5.50,2.28,0.45,
Japan,6.00,1.40,0.30,
Japan,6.50,0.85,0.19,
Japan,7.00,0.46,0.11,
Japan,7.50,0.24,0.06,
Japan,8.00,0.12,0.03,
Japan,8.50,0.06,0.02,
Japan,9.00,0.04,0.01,
Japan,9.50,0.01,0.00,
Netherlands,0.00,24.41,1.00,
Netherlands,0.50,22.23,1.00,
Netherlands,1.00,20.38,1.00,
Netherlands,1.50,18.32,1.00,
Netherlands,2.00,16.18,1.00,
Netherlands,2.50,13.99,1.00,
Netherlands,3.00,12.03,1.00,
Netherlands,3.50,9.96,1.00,
Netherlands,4.00,7.79,0.97,
Netherlands,4.50,6.07,0.90,
Netherlands,5.00,4.15,0.77,
Netherlands,5.50,2.70,0.58,
Netherlands,6.00,1.53,0.37,
Netherlands,6.50,0.83,0.21,
Netherlands,7.00,0.40,0.11,
Netherlands,7.50,0.23,0.06,
Netherlands,8.00,0.10,0.03,
Netherlands,8.50,0.04,0.01,
Netherlands,9.00,0.03,0.01,
Netherlands,9.50,0.01,0.00,
NewZealand,0.00,27.25,1.00,
NewZealand,0.50,25.08,1.00,
NewZealand,1.00,22.96,1.00,
NewZealand,1.50,20.61,1.00,
NewZealand,2.00,18.33,1.00,
NewZealand,2.50,16.17,1.00,
NewZealand,3.00,14.11,1.00,
NewZealand,3.50,11.80,1.00,
NewZealand,4.00,9.52,0.99,
NewZealand,4.50,7.35,0.95,
NewZealand,5.00,5.39,0.87,
NewZealand,5.50,3.42,0.71,
NewZealand,6.00,2.00,0.50,
NewZealand,6.50,1.01,0.29,
NewZealand,7.00,0.47,0.15,
NewZealand,7.50,0.18,0.06,
NewZealand,8.00,0.07,0.03,
NewZealand,8.50,0.02,0.01,
NewZealand,9.00,0.00,0.00,
NewZealand,9.50,0.00,0.00,
Norway,0.00,20.92,1.00,
Norway,0.50,18.99,1.00,
Norway,1.00,17.27,1.00,
Norway,1.50,15.40,1.00,
Norway,2.00,13.57,1.00,
Norway,2.50,11.48,1.00,
Norway,3.00,9.61,1.00,
Norway,3.50,7.85,0.98,
Norway,4.00,6.02,0.93,
Norway,4.50,4.32,0.82,
Norway,5.00,2.75,0.64,
Norway,5.50,1.72,0.45,
Norway,6.00,0.94,0.27,
Norway,6.50,0.49,0.15,
Norway,7.00,0.22,0.07,
Norway,7.50,0.09,0.03,
Norway,8.00,0.05,0.01,
Norway,8.50,0.01,0.01,
Norway,9.00,0.01,0.00,
Norway,9.50,0.00,0.00,
Portugal,0.00,18.81,1.00,
Portugal,0.50,16.94,1.00,
Portugal,1.00,15.19,1.00,
Portugal,1.50,13.62,1.00,
