Country,Withdrawal,Aver,SuccessRate, 
Australia,0.00,57.01,1.00,
Australia,0.50,56.83,1.00,
Australia,1.00,53.07,1.00,
Australia,1.50,49.14,1.00,
Australia,2.00,45.17,1.00,
Australia,2.50,56.67,1.00,
Australia,3.00,37.47,1.00,
Australia,3.50,33.48,1.00,
Australia,4.00,29.91,1.00,
Australia,4.50,26.19,1.00,
Australia,5.00,56.38,1.00,
Australia,5.50,18.76,0.99,
Australia,6.00,14.63,0.96,
Australia,6.50,11.16,0.90,
Australia,7.00,7.78,0.77,
Australia,7.50,56.82,1.00,
Australia,8.00,3.11,0.42,
Australia,8.50,1.55,0.24,
Australia,9.00,0.75,0.13,
Australia,9.50,0.32,0.06,
Austria,0.00,8.14,1.00,
Austria,0.50,7.12,1.00,
Austria,1.00,6.08,1.00,
Austria,1.50,4.86,0.98,
Austria,2.00,3.90,0.94,
Austria,2.50,2.96,0.84,
Austria,3.00,2.07,0.69,
Austria,3.50,1.34,0.51,
Austria,4.00,0.80,0.34,
Austria,4.50,0.42,0.19,
Austria,5.00,0.23,0.11,
Austria,5.50,0.11,0.06,
Austria,6.00,0.05,0.03,
Austria,6.50,0.02,0.01,
Austria,7.00,0.01,0.00,
Austria,7.50,0.00,0.00,
Austria,8.00,0.00,0.00,
Austria,8.50,0.00,0.00,
Austria,9.00,0.00,0.00,
Austria,9.50,0.00,0.00,
Belgium,0.00,11.19,1.00,
Belgium,0.50,9.83,1.00,
Belgium,1.00,8.70,1.00,
Belgium,1.50,7.42,1.00,
Belgium,2.00,6.02,1.00,
Belgium,2.50,4.87,0.98,
Belgium,3.00,3.55,0.92,
Belgium,3.50,2.40,0.77,
Belgium,4.00,1.55,0.57,
Belgium,4.50,0.86,0.36,
Belgium,5.00,0.45,0.20,
Belgium,5.50,0.20,0.10,
Belgium,6.00,0.09,0.04,
Belgium,6.50,0.03,0.02,
Belgium,7.00,0.02,0.01,
Belgium,7.50,0.00,0.00,
Belgium,8.00,0.00,0.00,
Belgium,8.50,0.00,0.00,
Belgium,9.00,0.00,0.00,
Belgium,9.50,0.00,0.00,
Canada,0.00,35.26,1.00,
Canada,0.50,32.98,1.00,
Canada,1.00,30.10,1.00,
Canada,1.50,27.52,1.00,
Canada,2.00,24.82,1.00,
Canada,2.50,22.22,1.00,
Canada,3.00,19.60,1.00,
Canada,3.50,16.91,1.00,
Canada,4.00,14.30,1.00,
