Strategy,P1,P2,P3,Comment,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, 
1,0,0,0,,400,10000,4,100,0,2.8,11,24.69,189.08,2.71,1.00,
3,0,0,0,,400,10000,4,50,25,4,11,5.46,17.86,1.45,1.00,
1,0,0,0,,400,10000,4,70,15,2.5,11,18.36,71.35,1.55,1.00,
2,0,0,0,,400,10000,4,0,100,2.5,11,4.38,15.29,1.32,1.00,
2,0,0,0,,400,10000,4,20,40,2.8,11,5.16,15.39,1.99,1.00,
1,0,0,0,,400,10000,4,90,5,2.8,11,22.08,130.51,1.53,1.00,
1,0,0,0,,400,10000,4,60,20,2.5,11,15.67,61.03,2.00,1.00,
1,0,0,0,,400,10000,4,80,10,2.8,11,19.19,84.15,1.12,1.00,
3,0,0,0,,400,10000,4,40,30,4,11,4.77,16.12,1.27,1.00,
2,0,0,0,,400,10000,4,10,45,2.8,11,4.05,10.64,1.88,1.00,
1,0,0,0,,400,10000,4,55,18,2.5,11,14.24,59.91,1.92,1.00,
3,0,0,0,,400,10000,4,30,35,4,11,4.06,13.21,1.26,1.00,
2,0,0,0,,400,10000,4,0,0,2.5,11,2.22,4.19,1.30,1.00,
2,0,0,0,,400,10000,4,0,50,2.8,11,2.94,7.96,1.29,1.00,
1,0,0,0,,400,10000,4,60,20,2.8,11,14.41,60.60,1.16,1.00,
1,0,0,0,,400,10000,4,70,15,2.8,11,16.84,77.67,1.52,1.00,
1,0,0,0,,400,10000,4,55,18,2.8,11,13.01,57.64,1.10,1.00,
1,0,0,0,,400,10000,4,40,30,2.5,11,11.06,41.82,1.76,1.00,
3,0,0,0,,400,10000,4,10,45,4,11,2.63,6.77,1.06,1.00,
1,0,0,0,,400,10000,4,50,25,2.5,11,13.25,56.56,1.73,1.00,
1,0,0,0,,400,10000,4,40,30,2.8,11,9.70,39.95,0.65,1.00,
3,0,0,0,,400,10000,4,20,40,4,11,3.33,10.79,1.24,1.00,
1,0,0,0,,400,10000,4,30,35,2.8,11,7.68,32.58,0.31,1.00,
1,0,0,0,,400,10000,4,100,0,4,11,17.67,91.85,0.00,1.00,
2,0,0,0,,400,10000,4,0,0,2.8,11,2.00,3.43,1.10,1.00,
1,0,0,0,,400,10000,4,20,40,2.5,11,6.64,24.33,0.62,1.00,
3,0,0,0,,400,10000,4,0,100,4,11,2.54,9.35,0.77,1.00,
2,0,0,0,,400,10000,4,0,100,2.8,11,3.91,15.26,1.14,1.00,
2,0,0,0,,400,10000,4,90,5,4,11,8.60,37.30,1.98,1.00,
1,0,0,0,,400,10000,4,0,100,2.8,11,3.87,22.81,0.00,0.99,
1,0,0,0,,400,10000,4,10,45,2.5,11,4.62,20.95,0.37,1.00,
1,0,0,0,,400,10000,4,50,25,2.8,11,12.03,63.93,1.01,1.00,
1,0,0,0,,400,10000,4,60,20,4,11,8.81,56.04,0.00,0.99,
1,0,0,0,,400,10000,4,90,5,4,11,15.18,78.31,0.00,1.00,
1,0,0,0,,400,10000,4,30,35,2.5,11,8.66,41.76,0.58,1.00,
3,0,0,0,,400,10000,4,0,0,4,11,1.27,2.24,0.70,1.00,
3,0,0,0,,400,10000,4,0,50,4,11,1.89,6.26,0.65,1.00,
1,0,0,0,,400,10000,4,20,40,2.8,11,5.71,20.38,0.24,1.00,
1,0,0,0,,400,10000,4,40,30,4,11,5.18,39.99,0.00,0.98,
1,0,0,0,,400,10000,4,55,18,4,11,7.70,50.27,0.00,0.99,
2,0,0,0,,400,10000,4,100,0,4,11,9.38,36.19,2.37,1.00,
1,0,0,0,,400,10000,4,0,50,2.5,11,2.79,12.81,0.00,1.00,
3,0,0,0,,400,10000,4,70,15,2.5,11,11.37,44.57,3.01,1.00,
2,0,0,0,,400,10000,4,80,10,4,11,7.80,27.39,1.83,1.00,
3,0,0,0,,400,10000,4,100,0,2.8,11,13.21,50.55,2.37,1.00,
1,0,0,0,,400,10000,4,80,10,4,11,12.95,70.94,0.00,1.00,
2,0,0,0,,400,10000,4,50,25,4,11,5.51,20.23,1.76,1.00,
1,0,0,0,,400,10000,4,30,35,4,11,3.47,25.45,0.00,0.95,
3,0,0,0,,400,10000,4,100,0,2.5,11,14.62,64.03,0.80,1.00,
1,0,0,0,,400,10000,4,0,0,2.8,11,0.71,3.75,0.00,0.94,
1,0,0,0,,400,10000,4,10,45,2.8,11,3.81,17.37,0.00,1.00,
1,0,0,0,,400,10000,4,0,100,4,11,1.10,16.87,0.00,0.65,
3,0,0,0,,400,10000,4,80,10,2.8,11,11.21,40.71,2.30,1.00,
3,0,0,0,,400,10000,4,55,18,2.5,11,9.62,32.88,2.46,1.00,
3,0,0,0,,400,10000,4,50,25,2.8,11,8.23,29.24,1.75,1.00,
1,0,0,0,,400,10000,4,0,100,2.5,11,4.62,22.82,0.00,1.00,
1,0,0,0,,400,10000,4,70,15,4,11,10.92,82.37,0.00,1.00,
1,0,0,0,,400,10000,4,100,0,2.5,11,26.34,107.45,3.84,1.00,
2,0,0,0,,400,10000,4,70,15,4,11,6.95,24.06,1.87,1.00,
3,0,0,0,,400,10000,4,20,40,2.5,11,5.73,16.58,1.85,1.00,
1,0,0,0,,400,10000,4,50,25,4,11,6.91,33.78,0.00,0.99,
2,0,0,0,,400,10000,4,30,35,4,11,4.01,11.82,1.08,1.00,
2,0,0,0,,400,10000,4,0,100,4,11,2.52,8.50,0.79,1.00,
3,0,0,0,,400,10000,4,90,5,2.5,11,13.52,61.11,2.43,1.00,
3,0,0,0,,400,10000,4,60,20,2.5,11,10.30,36.64,2.24,1.00,
3,0,0,0,,400,10000,4,90,5,2.8,11,12.17,45.09,2.38,1.00,
1,0,0,0,,400,10000,4,0,50,2.8,11,2.15,10.27,0.00,1.00,
1,0,0,0,,400,10000,4,80,10,2.5,11,20.97,86.94,2.50,1.00,
1,0,0,0,,400,10000,4,20,40,4,11,2.00,17.70,0.00,0.88,
2,0,0,0,,400,10000,4,40,30,4,11,4.73,15.58,1.58,1.00,
