Strategy,P1,P2,P3,Comment,Cycles,Repeats,StartSum,StartEq,StartBo,Withdrawal,Rebalance,Aver,Max,Min,SuccessRate, 
1,0,0,0,WorldWithoutUS,400,10000,4,100,0,2.8,11,16.89,97.41,0.00,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,70,15,2.5,11,12.32,65.35,0.15,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,50,25,4,11,4.03,16.69,0.90,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,20,40,2.8,11,3.70,12.61,1.26,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,0,100,2.5,11,2.37,9.70,0.62,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,90,5,2.8,11,14.74,150.55,0.00,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,60,20,2.5,11,10.50,61.55,0.00,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,40,30,4,11,3.47,13.13,0.94,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,80,10,2.8,11,13.12,198.55,0.00,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,10,45,2.8,11,2.87,9.53,1.16,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,55,18,2.5,11,9.70,50.24,0.62,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,0,0,2.5,11,2.18,3.58,1.36,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,30,35,4,11,2.94,11.74,0.86,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,0,50,2.8,11,2.04,5.58,0.89,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,60,20,2.8,11,9.32,62.36,0.00,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,50,25,2.8,11,7.75,60.16,0.00,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,40,30,2.8,11,6.08,36.13,0.00,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,70,15,2.8,11,11.21,61.49,0.00,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,40,30,2.5,11,7.08,38.43,0.23,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,50,25,2.5,11,8.78,50.79,0.06,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,30,35,2.5,11,5.44,34.41,0.00,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,10,45,4,11,1.85,5.74,0.70,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,20,40,4,11,2.40,11.18,0.75,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,0,100,2.8,11,2.13,9.94,0.58,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,0,0,2.8,11,1.95,3.54,1.06,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,0,100,4,11,1.36,4.92,0.31,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,20,40,2.8,11,3.17,21.10,0.00,0.99,
1,0,0,0,WorldWithoutUS,400,10000,4,0,0,2.8,11,0.65,2.80,0.00,0.95,
1,0,0,0,WorldWithoutUS,400,10000,4,55,18,2.8,11,8.59,54.01,0.00,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,90,5,4,11,6.31,27.21,0.98,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,0,100,2.5,11,1.47,15.10,0.00,0.92,
1,0,0,0,WorldWithoutUS,400,10000,4,30,35,2.8,11,4.62,28.11,0.00,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,0,50,2.8,11,0.80,7.27,0.00,0.88,
1,0,0,0,WorldWithoutUS,400,10000,4,10,45,2.5,11,2.54,13.38,0.00,1.00,
3,0,0,0,WorldWithoutUS,400,10000,4,0,0,4,11,1.25,2.10,0.73,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,70,15,4,11,6.40,75.80,0.00,0.96,
2,0,0,0,WorldWithoutUS,400,10000,4,80,10,4,11,5.71,26.91,0.81,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,20,40,2.5,11,3.95,23.37,0.00,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,100,0,4,11,11.17,77.11,0.00,0.98,
3,0,0,0,WorldWithoutUS,400,10000,4,0,50,4,11,1.30,4.17,0.50,1.00,
1,0,0,0,WorldWithoutUS,400,10000,4,60,20,4,11,4.94,65.69,0.00,0.94,
3,0,0,0,WorldWithoutUS,400,10000,4,70,15,2.5,11,8.67,35.95,1.92,1.00,
2,0,0,0,WorldWithoutUS,400,10000,4,100,0,4,11,6.91,40.18,0.85,1.00,
