#
# Strategy 1 = calculate withdrawal at start and keep const
# Strategy 2 = calculate withdrawal as percentage of current
# Strategy 3 = calculate withdrawal as given percentage from the average of 3 prior years
#
# StartEq - equity percentage at start
# StartBo - bonds percentage at start 
# Withdrawal = how many % to take out each YEAR (we assume that year = 11 steps, since 1239 pixels was 114 years)
# Rebalance = Period: rebalance each x steps. 0 means no rebalance.
#

# Strategy,StartEq,StartBo,Withdrawal,Rebalance,

# const withdrawal 2.8
1,100,0,2.8,11,
1,90,5,2.8,11,
1,80,10,2.8,11,
1,70,15,2.8,11,
1,60,20,2.8,11,
1,55,18,2.8,11,
1,50,25,2.8,11,
1,40,30,2.8,11,
1,30,35,2.8,11,
1,20,40,2.8,11,
1,10,45,2.8,11,
1,0,50,2.8,11,
1,0,100,2.8,11,
1,0,0,2.8,11,

# const withdrawal 4.0
1,100,0,4.0,11,
1,90,5,4.0,11,
1,80,10,4.0,11,
1,70,15,4.0,11,
1,60,20,4.0,11,
1,55,18,4.0,11,
1,50,25,4.0,11,
1,40,30,4.0,11,
1,30,35,4.0,11,
1,20,40,4.0,11,
1,10,45,4.0,11,
1,0,50,4.0,11,
1,0,100,4.0,11,
1,0,0,4.0,11,

# const withdrawal 2.5
1,100,0,2.5,11,
1,90,5,2.5,11,
1,80,10,2.5,11,
1,70,15,2.5,11,
1,60,20,2.5,11,
1,55,18,2.5,11,
1,50,25,2.5,11,
1,40,30,2.5,11,
1,30,35,2.5,11,
1,20,40,2.5,11,
1,10,45,2.5,11,
1,0,50,2.5,11,
1,0,100,2.5,11,
1,0,0,2.5,11,


# Vanguard withdrawal 2.8
3,100,0,2.8,11,
3,90,5,2.8,11,
3,80,10,2.8,11,
3,70,15,2.8,11,
3,60,20,2.8,11,
3,55,18,2.8,11,
3,50,25,2.8,11,
3,40,30,2.8,11,
3,30,35,2.8,11,
3,20,40,2.8,11,
3,10,45,2.8,11,
3,0,50,2.8,11,
3,0,100,2.8,11,
3,0,0,2.8,11,

# Vanguard withdrawal 4.0
3,100,0,4.0,11,
3,90,5,4.0,11,
3,80,10,4.0,11,
3,70,15,4.0,11,
3,60,20,4.0,11,
3,55,18,4.0,11,
3,50,25,4.0,11,
3,40,30,4.0,11,
3,30,35,4.0,11,
3,20,40,4.0,11,
3,10,45,4.0,11,
3,0,50,4.0,11,
3,0,100,4.0,11,
3,0,0,4.0,11,

# Vanguard withdrawal 2.5
3,100,0,2.5,11,
3,90,5,2.5,11,
3,80,10,2.5,11,
3,70,15,2.5,11,
3,60,20,2.5,11,
3,55,18,2.5,11,
3,50,25,2.5,11,
3,40,30,2.5,11,
3,30,35,2.5,11,
3,20,40,2.5,11,
3,10,45,2.5,11,
3,0,50,2.5,11,
3,0,100,2.5,11,
3,0,0,2.5,11,

# Relative withdrawal 2.8
2,100,0,2.8,11,
2,90,5,2.8,11,
2,80,10,2.8,11,
2,70,15,2.8,11,
2,60,20,2.8,11,
2,55,18,2.8,11,
2,50,25,2.8,11,
2,40,30,2.8,11,
2,30,35,2.8,11,
2,20,40,2.8,11,
2,10,45,2.8,11,
2,0,50,2.8,11,
2,0,100,2.8,11,
2,0,0,2.8,11,

# Relative withdrawal 4.0
2,100,0,4.0,11,
2,90,5,4.0,11,
2,80,10,4.0,11,
2,70,15,4.0,11,
2,60,20,4.0,11,
2,55,18,4.0,11,
2,50,25,4.0,11,
2,40,30,4.0,11,
2,30,35,4.0,11,
2,20,40,4.0,11,
2,10,45,4.0,11,
2,0,50,4.0,11,
2,0,100,4.0,11,
2,0,0,4.0,11,

# Relative withdrawal 2.5
2,100,0,2.5,11,
2,90,5,2.5,11,
2,80,10,2.5,11,
2,70,15,2.5,11,
2,60,20,2.5,11,
2,55,18,2.5,11,
2,50,25,2.5,11,
2,40,30,2.5,11,
2,30,35,2.5,11,
2,20,40,2.5,11,
2,10,45,2.5,11,
2,0,50,2.5,11,
2,0,100,2.5,11,
2,0,0,2.5,11,
